codigo_usina,mes,volume_referencia
92,12,5100.0
93,1,1340.19
93,2,1265.42
93,3,1154.9
93,4,1108.93
93,5,1108.58
93,6,1178.28
93,7,1346.13
93,8,1306.11
93,9,1296.43
93,10,1296.14
93,11,1324.7
93,12,1252.94
94,1,147.41
94,2,147.2
94,3,147.19
94,4,146.52
94,5,147.14
94,6,147.25
94,7,147.27
94,8,146.55
94,9,147.13
94,10,147.98
94,11,146.98
94,12,147.11
95,1,130.04
95,2,129.27
95,3,127.68
95,4,128.42
95,5,129.23
95,6,132.49
95,7,129.48
95,8,128.94
95,9,128.37
95,10,131.4
95,11,129.43
95,12,129.61
97,1,90.85
97,2,90.69
97,3,90.46
97,4,90.56
97,5,91.13
97,6,92.22
97,7,92.43
97,8,91.3
97,9,91.79
97,10,92.09
97,11,90.61
97,12,89.77
98,1,11.09
98,2,11.05
98,3,10.91
98,4,11.01
98,5,11.18
98,6,11.53
98,7,11.63
98,8,11.25
98,9,11.39
98,10,11.45
98,11,10.89
98,12,10.89
99,1,47.66
99,2,47.74
99,3,47.88
99,4,48.07
99,5,48.34
99,6,49.59
99,7,49.69
99,8,48.42
99,9,49.2
99,10,49.2
99,11,47.88
99,12,47.26
101,1,186.33
101,2,186.33
101,3,186.33
101,4,186.33
101,5,186.33
101,6,186.33
101,7,186.33
101,8,186.33
101,9,186.33
101,10,186.33
101,11,186.33
101,12,186.33
102,1,95.67
102,2,91.61
102,3,92.55
102,4,94.66
102,5,95.16
102,6,95.84
102,7,95.37
102,8,92.46
102,9,90.87
102,10,92.76
102,11,94.86
102,12,92.13
103,1,1465.98
103,2,1466.06
103,3,1463.12
103,4,1462.38
103,5,1460.49
103,6,1469.46
103,7,1469.78
103,8,1468.6
103,9,1466.97
103,10,1468.06
103,11,1466.32
103,12,1460.6
111,1,3004.11
111,2,2826.69
111,3,2644.48
111,4,2468.88
111,5,2430.53
111,6,2683.04
111,7,2973.12
111,8,3010.67
111,9,3022.1
111,10,3068.8
111,11,3105.25
111,12,2990.72
112,1,29.0
112,2,29.0
112,3,29.0
112,4,29.0
112,5,29.0
112,6,29.0
112,7,29.0
112,8,29.0
112,9,29.0
112,10,29.0
112,11,29.0
112,12,29.0
113,1,620.0
113,2,620.0
113,3,620.0
113,4,620.0
113,5,620.0
113,6,620.0
113,7,620.0
113,8,620.0
113,9,620.0
113,10,620.0
113,11,620.0
113,12,620.0
114,1,330.0
114,2,330.0
114,3,330.0
114,4,330.0
114,5,330.0
114,6,330.0
114,7,330.0
114,8,330.0
114,9,330.0
114,10,330.0
114,11,330.0
114,12,330.0
115,1,125.17
115,2,124.03
115,3,122.21
115,4,117.79
115,5,112.83
